"SourcePostId","Type","Name","Username","Tweet ID (click to view url)","Retweets","Comments","Favorites","Is Retweet?","Date","Tweet Text","Author Followers","Author Friends","Author Favorites","Author Statuses","Author Bio","Author Image","Author Location","Author Verified","Tweet Source","Status URL"
,Post,Feliz 4rd0,feliz4_rd0,1863995922507612381,,,1,no,2024-12-03 11:17:13,@guilarduci_jose @gleisi Crescendo também o dólar a inflação  o rombo das estatais  a violência  o desmatamento da Amazônia os gastos da esbanja e dívida pública só mais de 1 trilhão sem pandemia.,10,100,1,299,,https://pbs.twimg.com/profile_images/1798600202422816768/rpr4hI76_normal.jpg,Curitiba Brazil,no,Twitter for Android,https://www.twitter.com/feliz4_rd0/status/1863995922507612381
,Post,Akai,Akai_Shiri,1863991735858209202,,1,7,no,2024-12-03 11:00:35,Vamos todos lutar contra o desmatamento! https://t.co/5JTehtoINq,2139,4842,7,121948,Seja bem vindo(a)!  Muitas noticias a seu dispor Luto por um país melhor e justiça para todos.  Não me coloquem nas listas SDV. Quem fizer isso será bloqueado.,https://pbs.twimg.com/profile_images/1653997527467696128/QGEIH3ba_normal.jpg,,no,,https://www.twitter.com/Akai_Shiri/status/1863991735858209202
,Post,A Voz do Brasil,avozdobrasil,1863989070835388548,1,,5,no,2024-12-03 10:50:00,A Dinamarca anunciou a doação de cerca de R$ 127 milhões ao Fundo Amazônia que tem como finalidade captar doações para ações de prevenção monitoramento e combate ao desmatamento.📷@agenciabrasil Ouça: https://t.co/Q1jnSjcBKx https://t.co/V13dHKMoun,180888,274,5,60995,🎙 Em Brasília 19h! Um programa da EBC 🇧🇷,https://pbs.twimg.com/profile_images/1815383780380577792/3biwQNPE_normal.jpg,Brasília/DF,no,Twitter Web App,https://www.twitter.com/avozdobrasil/status/1863989070835388548
,Post,tatudoumamaravilha,EduardoAbr34747,1863976466544763055,,,8,no,2024-12-03 09:59:55,@OsmarAl00901957 @VEJA @casado_oficial Recorde na alta da carne bovina. Gasolina caríssima sem pandemia.Alta recorde no preço de grãos e hortifrute.Divida pública recorde de 9 tri.Estatais no negativo em bilhões Passagem aérea caríssima. Queimadas e desmatamento recordes. Fome assolando o país.Tatudomaravilhoso,2,9,8,250,,https://pbs.twimg.com/profile_images/1854177688342458368/r6L43OMj_normal.png,,no,Twitter for Android,https://www.twitter.com/EduardoAbr34747/status/1863976466544763055
,Post,Noia com fimose,eletropal,1863973227912987025,,,4,no,2024-12-03 09:47:03,Alguém avisa pra esse burro parar de fazer desmatamento,64,177,4,608,antes sofria agr sou cria chama mlk 😎🤙 https://t.co/wONhbD09cl,https://pbs.twimg.com/profile_images/1805400312624132096/Rnak4o8f_normal.jpg,,no,Twitter for iPhone,https://www.twitter.com/eletropal/status/1863973227912987025
,Post,Vinny,SrLangzinho,1863970110144188757,,,5,no,2024-12-03 09:34:39,@luscafusca150 Além do perigo de investidores usarem essa estética pra justificar por exemplo desmatar uma área verde já consolidada para construir no local como se um verde aqui e outro ali fosse compensar o estrago,1258,1215,5,65087,marvel arquitetura e kpop safe zone ⚠️,https://pbs.twimg.com/profile_images/1857486150312525824/rODETQT__normal.jpg,,no,Twitter for Android,https://www.twitter.com/SrLangzinho/status/1863970110144188757
,Post,Clécio Luís,Clecio_Luis,1863961284103815553,7,5,31,no,2024-12-03 08:59:35,O mundo usará petróleo por mais 50 anos e queremos contribuir com isso. Somos carbono negativo desmatamento zero e nossa energia é 100% renovável. A transição nós já fizemos agora queremos diversificar nossa economia com atividades adequadas à nossa realidade. #ClecioNaVeja,5346,144,31,2572,Governador do Estado do Amapá ex-prefeito de Macapá professor pai e apaixonado por culturas.,https://pbs.twimg.com/profile_images/1740569418470490112/3GTZwtHV_normal.jpg,Amapá Brasil,no,Twitter for Android,https://www.twitter.com/Clecio_Luis/status/1863961284103815553
,Post,gabs vai ver o skz,maedapitaya,1863957283538952694,,1,2,no,2024-12-03 08:43:41,@leegayminho Inimigo do desmatamento,62,171,2,603,não existo.,https://pbs.twimg.com/profile_images/1861828721956560896/LrXHvGZO_normal.jpg,,no,Twitter for iPhone,https://www.twitter.com/maedapitaya/status/1863957283538952694
,Post,sam⁰⁸²⁸🐢🍻||BREWINGLO♡E,SSejelag,1863956785062645807,,,2,no,2024-12-03 08:41:42,Vão tacar fogo no homi floresta 😭😭😭😭😭 CHEGA DE DESMATAMENTO PELO AMOR DE DEUS,1516,1196,2,68903,Cristã • KimSeJeong • AG • ET • SEP,https://pbs.twimg.com/profile_images/1860710679935619073/qFR3KFEg_normal.jpg,sj ag et,no,Twitter for Android,https://www.twitter.com/SSejelag/status/1863956785062645807
,Post,Ana Paula Rehbein,anarehbein,1863928293793190256,4,,25,no,2024-12-03 06:48:30,Fazendeiros são multados em R$ 66 milhões e máquinas apreendidas após Ibama flagrar desmatamento em terras embargadas | Tocantins | G1 https://t.co/JRzlGqWqFg,18607,2287,25,34574,🎥🎬🎤 Jornalista. 19 anos de televisão. 16x premiada. Reporto o Brasil profundo no encontro do Cerrado com a Amazônia. Tv Anhanguera e @TvGlobo,https://pbs.twimg.com/profile_images/1352607335030665216/cg4rDJMY_normal.jpg,Palmas - Tocantins Brasil,no,Twitter for iPhone,https://www.twitter.com/anarehbein/status/1863928293793190256
,Post,Varadouro,jornalvaradouro,1863922191156298083,1,,1,no,2024-12-03 06:24:15,Desmatamento na FES do Antimary foi o maior entre as áreas protegidas da Amazônia. UC está inserida em lei aprovada pela Aleac que “privatiza” áreas dentro de florestas públicas. Governo diz realizar ações constantes de combate ao desmatamento no estado.https://t.co/7rNNza7QFP https://t.co/6xcgTV9XBY,451,204,1,477,Varadouro - um jornal das selvas jornalismo alter (nativo) da floresta contato@ovaradouro.com.br,https://pbs.twimg.com/profile_images/1662828343366938627/mDAnxqQv_normal.jpg,Acre Brasil,no,Twitter Web App,https://www.twitter.com/jornalvaradouro/status/1863922191156298083
,Post,Jornal A Redação,aredacao,1863920211113496962,,,1,no,2024-12-03 06:16:22,Semad flagra desmatamento ilegal de 75 hectares em Sanclerlândia. Autuação foi de R$ 13 mil https://t.co/5u2fiuOOei https://t.co/1PN2yxNbBf,43920,110,1,170235,Primeiro jornal em Goiás pensado para mídias digitais. O talento e a credibilidade de nossos jornalistas são nosso maior patrimônio.,https://pbs.twimg.com/profile_images/1052274496168693761/UNdlBThc_normal.jpg,Goiânia - GO,no,Twitter Web App,https://www.twitter.com/aredacao/status/1863920211113496962
,Post,Fórum 21,forum21br,1863916097369710981,,,4,no,2024-12-03 06:00:02,Chico Mendes faria 80 anos em 2024 e seu legado segue vivo. A estreia do filme ‘Empate’ e eventos no Acre relembram a luta pelos seringais e a resistência em defesa da Amazônia que ainda enfrenta ameaças graves como desmatamento e mudanças climáticas | https://t.co/pnOamCJ7XL https://t.co/3KlqaOyqFf,188470,434,4,84439,O portal das esquerdas. Notícias do Brasil e do mundo com uma análise progressista.,https://pbs.twimg.com/profile_images/1636037823223439362/kytWO0j1_normal.png,Brasil,no,Twitter Web App,https://www.twitter.com/forum21br/status/1863916097369710981
,Post,Ricardo Lima,veganoricca,1863910591364051030,,,2,no,2024-12-03 05:38:09,A idéia de privatizar as praias brasileiras é mais uma prova que a extrema-direta odeia pobre e o meio ambiente. Isso pode causar danos para o ecossistema já fragilizado da costa brasileira. Haverá desmatamento animais silvestres e marinhos morrendo por resorts de luxo.,562,643,2,9335,Comunicador e co-host do @podvegacessivel / veganismo político e popular.,https://pbs.twimg.com/profile_images/1853858442382897152/46LM26eo_normal.jpg,Miami,no,Twitter for iPhone,https://www.twitter.com/veganoricca/status/1863910591364051030
,Post,FNB - Força Nacionalista do Brasil 🇧🇷,somosfnb,1863902773357453401,,1,3,no,2024-12-03 05:07:05,Para garantir o predomínio da agricultura falida deles eles partem para calúnias e difamações alegando que o agro brasileiro é produzido através do desmatamento de nossas florestas o que é uma mentira desvairada! + https://t.co/6apT0nd8qi,2379,139,3,5846,Liberdade Tradição e Soberania. O nacionalismo deve ser orgânico e fincado na ordem natural a partir do sentimento de família comunidade e tradição.,https://pbs.twimg.com/profile_images/1798478166933020672/pAbwzoXN_normal.jpg,Brasil,no,Twitter for Android,https://www.twitter.com/somosfnb/status/1863902773357453401
,Post,Gazeta Brasil,SigaGazetaBR,1863897439788245442,5,1,18,no,2024-12-03 04:45:53,Desmatamento ilegal no Cerrado gera R$ 206 milhões em multas https://t.co/lNGvMpuKmz,485338,1047,18,108044,🟡Mais informação menos opinião🟢  Pautas: redacao@gazetabrasil.com.br Canal no WhatsApp➡️ https://t.co/RTM6Jm8P5B,https://pbs.twimg.com/profile_images/1602344264251342848/kTLsCURa_normal.jpg,Brasil,no,Twitter Web App,https://www.twitter.com/SigaGazetaBR/status/1863897439788245442
,Post,O Ambientalista Liberal,lucasnatpho,1863880635254759576,26,9,164,no,2024-12-03 03:39:07,MENTIRAM PARA VOCÊ O baixo índice de desmatamento  em terras indígenas não se deve AOS INDÍGENAS.A FALTA DE PRESENÇA HUMANA -ou seja o inverso das reservas- é o MAIOR ESTÍMULO para a atuação de grileiros e outros criminosos em áreas destinadas à PRESERVAÇÃO.MINHA OPINIÃO. https://t.co/S1sklFL3Vc,9292,2459,164,12842,Biólogo e Professor em defesa da biodiversidade brasileira. Coordenador do MBL SP.  Ambientalismo anticapitalista é hobby de playboy.,https://pbs.twimg.com/profile_images/1507897035378282499/aWCrHJDL_normal.jpg,São Paulo Brasil,no,Twitter for Android,https://www.twitter.com/lucasnatpho/status/1863880635254759576
,Post,O Cafezinho ☕️🗞,ocafezinho,1863844396971511935,1,1,16,no,2024-12-03 01:15:07,Desmatamento cai 55% na Mata Atlântica no primeiro semestre Dados do Sistema de Alertas de Desmatamento (SAD) Mata Atlântica indicam redução de 55% no desmatamento do bioma no primeiro semestre de 2024 em comparação com o mesmo período do ano anterior.… https://t.co/1quhs6GTSx,86982,2182,16,169665,Mídia Independente |  Editor: @migueldorosario | Diretor: @gabrielbrbjor | pix@ocafezinho.com | 🌍 🇬🇧 @talassanews,https://pbs.twimg.com/profile_images/1660067669675048960/ItggmjAS_normal.jpg,Rio de Janeiro,no,IFTTT,https://www.twitter.com/ocafezinho/status/1863844396971511935
,Post,Simone AMAZÔNIA🔰❤️ #Agenda2030 ODS🌎🌳🌴💐🌱,simonerrodrigue,1863814239128895997,,,,no,2024-12-02 23:15:17,Não normalizem 43⁰ graus. Não continuem brincando com a natureza. #STOP #desmatamento https://t.co/z42vlF7X9A,2159,3921,,75599,Agradeço a DEUS por tudo  Amo minha família   DEUS sabe o que faz e não   poderia ter feito o melhor pra mim.,https://pbs.twimg.com/profile_images/1509749148916101136/faztT-2u_normal.jpg,,no,Twitter for Android,https://www.twitter.com/simonerrodrigue/status/1863814239128895997
,Post,Jaum Ψ,Jaum342,1863748272180916275,,,1,no,2024-12-02 18:53:09,Depois de estudar botânica estou pensando seriamente em apoiar o desmatamento,759,2412,1,9466,~☾「Live the life you love and love the life you live. (o/ele/dele) ~☼,https://pbs.twimg.com/profile_images/1704830580402028544/aZftEBHx_normal.jpg,,no,Twitter Web App,https://www.twitter.com/Jaum342/status/1863748272180916275
,Post,Portal Amazônia,PortalAmazonia,1863719798364049711,,,1,no,2024-12-02 17:00:00,#economia I Contribuição foi anunciada na reunião anual de doadores que apresentou dados sobre a queda do desmatamento na Amazônia. O encontro também marcou o lançamento da iniciativa Naturezas Quilombolas.https://t.co/bdv2FjV0wy,111664,110,1,110868,🌳 O portal para a Amazônia 🌳  🖥 Contato: jornalismo@portalamazonia.com,https://pbs.twimg.com/profile_images/1790822496289112064/fFmdM6yX_normal.jpg,Manaus - Amazonas,no,Twitter Web App,https://www.twitter.com/PortalAmazonia/status/1863719798364049711
,Post,Fraan,FraanLeidi,1863713011644465633,,,1,no,2024-12-02 16:33:02,@SampaioRules @Metropoles @PauloCappelli_ Olha a situação do Brasil hj ..sem pandemia olha a Amazônia sendo desmatada e queimando ..com recordes.. vc não percebe que artistas q fizeram campanhas mídia e políticos estão ganhando $$? Olha nossas estatais q estavam dando lucros e agr acumula déficit astronômico,298,438,1,7044,- ♒,https://pbs.twimg.com/profile_images/1269961593959440385/e0U1i44m_normal.jpg,Sao Paulo Brazil,no,Twitter for Android,https://www.twitter.com/FraanLeidi/status/1863713011644465633
,Post,⚢,armaggedao,1863708104170274888,,,1,no,2024-12-02 16:13:32,é gás quase 200 reais é tigrinho é conta de luz saindo 300 reais é agronegócio é desmatamento a porra do sistema é todo capitalista vtnc essa porra de salário mínimo n da nem pra comprar uma calcinha,71,127,1,2626,me when im jiminjeong daughter and like pompompurin and girls so im giselle from aespa,https://pbs.twimg.com/profile_images/1863739700516671488/_i-ZE52v_normal.jpg,ꕤ,no,Twitter for Android,https://www.twitter.com/armaggedao/status/1863708104170274888
,Post,Anderson,kakarotoansu,1863682672448479454,3,,1,no,2024-12-02 14:32:29,@Palmeiras não pode desmatar 📢🎶🎶🎶,136,627,1,3107,#AvantiPalestra 💚🙌🚴🏃⚽️🏀,https://pbs.twimg.com/profile_images/1674053457815166977/rDAPmmlU_normal.jpg,São Bernardo do Campo Brasil,no,Twitter for Android,https://www.twitter.com/kakarotoansu/status/1863682672448479454
,Post,V,Vitu_di_Rosula,1863682464075415843,,,3,no,2024-12-02 14:31:39,Usar IA com Arcane é o equivalente a derrubar uma árvore de 500 anos pra fazer uma placa defendendo o desmatamento,251,272,3,4199,,https://pbs.twimg.com/profile_images/1847244298544136192/ipBTjl_-_normal.jpg,Belo Horizonte Brasil,no,Twitter for Android,https://www.twitter.com/Vitu_di_Rosula/status/1863682464075415843
,Post,posso almoçar Na sua casa,deicha_torar,1863681927179297131,,1,2,no,2024-12-02 14:29:31,@miagothpeiitos vamos estar lutando contra o desmatamento... de liso ja basta eu!!!,790,1237,2,52351,alucinações e acetona   🔞 @queissodeicha,https://pbs.twimg.com/profile_images/1811224603421032448/LXClW0c8_normal.jpg,,no,Twitter for Android,https://www.twitter.com/deicha_torar/status/1863681927179297131
,Post,Fórum 21,forum21br,1863673513120297261,1,,2,no,2024-12-02 13:56:05,Chico Mendes faria 80 anos em 2024 e seu legado segue vivo. A estreia do filme ‘Empate’ e eventos no Acre relembram a luta pelos seringais e a resistência em defesa da Amazônia que ainda enfrenta ameaças graves como desmatamento e mudanças climáticas |https://t.co/pnOamCIA8d https://t.co/YHFCWEMIpE,188470,434,2,84439,O portal das esquerdas. Notícias do Brasil e do mundo com uma análise progressista.,https://pbs.twimg.com/profile_images/1636037823223439362/kytWO0j1_normal.png,Brasil,no,Twitter Web App,https://www.twitter.com/forum21br/status/1863673513120297261
,Post,larinha 🍉,nikk0__o,1863673103131234765,1,1,1,no,2024-12-02 13:54:27,pelo menos minha obsessão absurda em desmatamento me garantiu uma questão,296,461,1,63479,vet de cv | geopolítica | eu namoro com o homem mais foda do mundo @arthuraando,https://pbs.twimg.com/profile_images/1812560245660565504/O07jPie1_normal.jpg,she's a certified freak ✰✰✰,no,Twitter for Android,https://www.twitter.com/nikk0__o/status/1863673103131234765
,Post,Faculdade de Direito da USP,de_usp,1863663969564524770,1,,,no,2024-12-02 13:18:10,“Apesar da possível extensão (no prazo) a alteração na regulação já impacta profundamente as exportações” escreve. Leia texto completo. Discuta reverbere: https://t.co/jIys0xXiGl#fdusp #direitousp #desmatamento #meioambiente #clima #uniaoeuropeia,15043,46,,14560,Largo de São Francisco 95,https://pbs.twimg.com/profile_images/1007636722145005569/WM6Fiilz_normal.jpg,Sao Paulo Brazil,no,Twitter for Android,https://www.twitter.com/de_usp/status/1863663969564524770
,Post,Faculdade de Direito da USP,de_usp,1863663955400401337,1,1,1,no,2024-12-02 13:18:06,A proposta de Comissão Europeia de adiamento para decidir alteração na regulação postergando os prazos de implementação da legislação que visa combater o desmatamento é tema de análise do professor Carlos Portugal Gouvêa Direito Comercial da FDUSP em artigo no Valor Econômico👇 https://t.co/9zuZ8OsINP,15043,46,1,14560,Largo de São Francisco 95,https://pbs.twimg.com/profile_images/1007636722145005569/WM6Fiilz_normal.jpg,Sao Paulo Brazil,no,Twitter for Android,https://www.twitter.com/de_usp/status/1863663955400401337
,Post,Faculdade de Direito da USP,de_usp,1863662404577488902,1,,,no,2024-12-02 13:11:57,Ao fazer um apanhado do que está em discussão nas questões jurídicas na União Europeia e em outras partes do mundo ressalta a preocupação também entre as organizações ambientalistas. Reverbere: https://t.co/jIys0xXiGl#fdusp #direitousp #desmatamento #meioambiente #clima,15043,46,,14560,Largo de São Francisco 95,https://pbs.twimg.com/profile_images/1007636722145005569/WM6Fiilz_normal.jpg,Sao Paulo Brazil,no,Twitter for Android,https://www.twitter.com/de_usp/status/1863662404577488902
,Post,Faculdade de Direito da USP,de_usp,1863662399317737864,1,1,1,no,2024-12-02 13:11:55,A proposta de Comissão Europeia de adiamento para decidir alteração na regulação postergando os prazos de implementação da legislação que visa combater o desmatamento é tema de análise do professor Carlos Portugal Gouvêa Direito Comercial da FDUSP  Valor Econômico. https://t.co/8kWbh28t3A,15043,46,1,14560,Largo de São Francisco 95,https://pbs.twimg.com/profile_images/1007636722145005569/WM6Fiilz_normal.jpg,Sao Paulo Brazil,no,Twitter for Android,https://www.twitter.com/de_usp/status/1863662399317737864
,Post,Folha de S.Paulo,folha,1863658247967695049,1,3,4,no,2024-12-02 12:55:26,#OPINIÃO📝 Shireen Mahdi | Reforma tributária: mais produtividade menos desmatamento. Além dos benefícios econômicos a reforma pode trazer ganhos ambientais significativoshttps://t.co/YdYFBO9npb,8869464,164004,4,771845,Um jornal em defesa da energia limpa  Newsletters: https://t.co/NVUcVDAjzm Insta: https://t.co/ojJrxalUfl  Assine: https://t.co/OJOZUvKPWW WhatsApp: https://t.co/zAAuCdbnn8,https://pbs.twimg.com/profile_images/1542328100159102978/TY95Pzzw_normal.jpg,São Paulo Brazil,no,Twitter Web App,https://www.twitter.com/folha/status/1863658247967695049
,Post,Cissa Soares 🚩,CissaBarueri,1863657845062844576,,,1,no,2024-12-02 12:53:50,Governo deveria tirar todos os privilégios desses militares e mandar pra cuidar de fronteiras fazendo um serviço útil pra população brasileira. Não entendo pq entra tanta droga nesse país pq na Amazônia tem tanto desmatamento irregular pesca irregular e por ai vai.,2015,2867,1,3925,Meu twitter minhas regras. 😎🤫🖕🏼 Petista com orgulho🚩 #SDV🚩,https://pbs.twimg.com/profile_images/1545783125556576264/3S3N6WhJ_normal.jpg,Barueri ,no,Twitter for Android,https://www.twitter.com/CissaBarueri/status/1863657845062844576
,Post,my name is cavalo (Clarica),Maria6_clara,1863648386399793607,,1,1,no,2024-12-02 12:16:14,@NefertariCyrus @ilarilarireis Você sabe do qual desmatamento estou falando não me chame de praga.,40,46,1,2110,Ao verme que primeiro roeu as frias carnes do meu cadáver dedico como saudosa lembrança estas memórias póstumas.,https://pbs.twimg.com/profile_images/1853248427876110336/WU4Kcnmg_normal.jpg,,no,Twitter for Android,https://www.twitter.com/Maria6_clara/status/1863648386399793607
,Post,my name is cavalo (Clarica),Maria6_clara,1863647175344824420,,1,1,no,2024-12-02 12:11:26,@NefertariCyrus @ilarilarireis Eu sou a favor do desmatamento.,40,46,1,2110,Ao verme que primeiro roeu as frias carnes do meu cadáver dedico como saudosa lembrança estas memórias póstumas.,https://pbs.twimg.com/profile_images/1853248427876110336/WU4Kcnmg_normal.jpg,,no,Twitter for Android,https://www.twitter.com/Maria6_clara/status/1863647175344824420
,Post,Hemerocale 𐚁,NefertariCyrus,1863646778362388792,,1,1,no,2024-12-02 12:09:51,@ilarilarireis @Maria6_clara Eu paguei saúde ambiental com 10 sou contra desmatamento,61,272,1,602,Turtle saving is a hobby,https://pbs.twimg.com/profile_images/1674679588016775170/JtOIFP8C_normal.jpg,,no,Twitter for Android,https://www.twitter.com/NefertariCyrus/status/1863646778362388792
,Post,peeta melark,pedroca212000,1863638364005556530,,,1,no,2024-12-02 11:36:25,@littl3ana Tem q desmatar mesmooooi,156,427,1,10898,manauara contabilidade uea 6/8 mande a boa ai  libra vôlei,https://pbs.twimg.com/profile_images/1836496331784810498/xS53EOJy_normal.jpg,Manaus Brasil,no,Twitter for Android,https://www.twitter.com/pedroca212000/status/1863638364005556530
,Post,Julia Maciel,juliamacielf,1863631072023450096,,,3,no,2024-12-02 11:07:26,Nem a riqueza do Brasil eles amam ou protegem. Vê se fazem algo contra as queimadas desmatamento...,5023,466,3,66852,Educação ambiental biologia e biologia marinha 𓆉             ela/dela         pixjuliamaciel@gmail.com,https://pbs.twimg.com/profile_images/1748122007630176256/jd3z6Gvj_normal.jpg,Rio de Janeiro Brazil,no,Twitter for Android,https://www.twitter.com/juliamacielf/status/1863631072023450096
,Post,El Buda,dinoataque57364,1863630423076573572,,,24,no,2024-12-02 11:04:52,@lucasnatpho Isso literalmente tá enraizado na cultura dele. As tribos indígenas nunca caçariam além do que precisam. Enquanto você tá aí reclamando do indígena que vai aproveitar toda a ave tá rolando desmatamento descontrolado carbonizando animais vivos levando dezenas de espécies,55,86,24,4210,Bom dia,https://pbs.twimg.com/profile_images/1809231845789470721/yIRKO1Rg_normal.jpg,Morando no planeta terra ,no,Twitter for Android,https://www.twitter.com/dinoataque57364/status/1863630423076573572
,Post,Alex Quer o Recesso Forense,aahleks,1863625984471171157,,,1,no,2024-12-02 10:47:13,Passo mal no elefante pró desmatamento,634,429,1,114214,⚠️ Altamente irritante,https://pbs.twimg.com/profile_images/1797044746747080704/69my5Dyx_normal.jpg,Manaus Amazonas,no,Twitter for Android,https://www.twitter.com/aahleks/status/1863625984471171157
